id,text,label,origin,id-type,predictions,prediction_scores
1.3949704826556047e+18,"⁦Santi_ABASCAL⁩ , en Ceuta: 'Vamos a expulsar a todos los invasores enviados por el Gobierno marroquí' ⁦vox_es⁩ SoloQuedaVox",1,twitter,twitterId,0,"[0.9979212880134583, 0.002078673569485545]"
1.462159464392446e+18,"Respeto el derecho de cualquiera a no querer ser vacunado forzosamente. Tanto como me asombran (y ahí lo voy a dejar) los argumentos tan absurdos, paranoicos y egoístas que escucho a quienes reclaman ese derecho.",0,twitter,twitterId,1,"[0.0015791835030540824, 0.9984208345413208]"
1.4645601513866404e+18,"NoALaEspañaInsegura
NoALaInseguridadCiudadana 

Se puede estar con nuestros héroes, la policia y la guardiacivil , como estamos los populares 

O se puede estar con los violentos y los que los jalean, como están el PSOE, Podemos, ERC, Bildu….",0,twitter,twitterId,1,"[0.0015763959381729364, 0.9984235763549805]"
1.3693512537094472e+18,Sanidad contabilizó hasta el 26 de febrero 130.091 sanitarios contagiados desde el inicio de la pandemia. Y para sorpresa de todos el viernes notificó 125.691 hasta el 4 marzo ¿Por qué han desaparecido más de 4.000? Otro nuevo misterio como el de las vacunas perdidas.,1,twitter,twitterId,0,"[0.9991670846939087, 0.0008329421398229897]"
1.4514344805106442e+18,"¿Quién va a querer ser empresario en un país en el que se les criminaliza y persigue, cuando uno puede optar a ser funcionario o subvencionado?

¿Cómo se pagarán los sueldos de tanto funcionario y subvencionado el día que ya no queden empresarios?",0,twitter,twitterId,1,"[0.03136651590466499, 0.9686334729194641]"
1.4563374296909988e+18,Una promesa: NO VENCERÁN. Así tengamos que hacerles frente hasta las puertas del mismo infierno.,0,twitter,twitterId,1,"[0.011166990734636784, 0.9888330698013306]"
1.4584630243275735e+18,"🖍♥️ Hectorgomezh 
“Son capaces de desvirtuar la realidad con el único objetivo de minimizar la acción del Gobierno.

¿Ese es el compromiso que tenemos de esta oposición?”

Avanzamos_",0,twitter,twitterId,1,"[0.017068520188331604, 0.9829315543174744]"
1.389268126328623e+18,👉🏽 Conviene recordar que Madrid tiene el dudoso honor de  ser la región más desregularizada de España en materia ambiental. El medio ambiente lleva muchos sin ser una prioridad en la región. Por si te inspira para votar....vía atienzajc,1,twitter,twitterId,0,"[0.9991921782493591, 0.0008077717502601445]"
1.3772729491625288e+18,"Hoy he querido dedicar estas palabras de agradecimiento a PabloIglesias en su último día en la vicepresidencia. 

A él más que a nadie se lo pusieron difícil para llegar al Gobierno y hoy nos deja para seguir enfrentando a los enemigos de la democracia. 

Gracias por tanto.",0,twitter,twitterId,1,"[0.13625384867191315, 0.863746166229248]"
1.4000897689695764e+18,"Las madres que crían solas a sus hijos, por obligación o por elección, lo tienen más difícil. 

Tienen que hacer malabares para cuadrar sus horarios y llegan agotadas al final del día. 

Este Gobierno tiene que garantizar sus derechos.",0,twitter,twitterId,1,"[0.19756357371807098, 0.8024364709854126]"
1.3995696494827438e+18,"🔴Perú🇵🇪

Ni los grandes bancos lo están financiando, ni los grandes medios lo están mostrando.

A pocos días de las elecciones, así está siendo el recibimiento al maestro Pedro Castillo en las comunidades campesinas e indígenas de todo el país",1,twitter,twitterId,0,"[0.9993835687637329, 0.0006164649385027587]"
1.3777394549415936e+18,"En esto termina el multiculturalismo: tiroteos y vecinos con miedo a salir a la calle. 

Deportaciones masivas antes de que acaben en las listas de Podemos.",1,twitter,twitterId,0,"[0.9937346577644348, 0.006265310570597649]"
1.4532520524532982e+18,"Lo de “sabemos gobernar” de Almeida debió ser otro de sus chistes que no tienen ni puñetera gracia.

AlmeidaAtascaMadrid",0,twitter,twitterId,1,"[0.008092417381703854, 0.9919075965881348]"
https://www.libertaddigital.com/opinion/2023-03-12/agapito-maestre-luz-de-marzo-no-hay-gobierno-6995114/,"No anuncia el desastre sino que lo muestra: empresas que se largan, miles de obreros en paro o empleos engañosos, despidos masivos de trabajadores en Valencia, políticos persiguiendo periodistas, manifestaciones feministas contra las mujeres, corrupciones por todas partes y el Gobierno con la misma carencia de legitimidad que el día que se constituyó.",1,news-articles,url,0,"[0.902198851108551, 0.09780113399028778]"
1.3880320528475996e+18,"🏘️Mientras el Gobierno no da soluciones y Podemos alienta la okupacion como medio de acceso a la vivienda, Madrid facilitará viviendas a las víctimas de los okupas como solución temporal hasta que puedan volver a sus residencias.

populares contra la okupacion

YoConAyuso",1,twitter,twitterId,0,"[0.9975957274436951, 0.002404214581474662]"
https://www.alertadigital.com/2023/03/12/la-eterna-decepcion-de-los-partidos-de-la-derecha-patriotica-y-soberanista-cuando-llegan-al-poder-meloni-quiere-acoger-a-500-000-inmigrantes-este-ano-en-italia/,"Desgraciadamente, severamente llamado al orden por las autoridades europeas, el nuevo gobierno se contentó con algunas medidas simbólicas – como cambiar el nombre de los ministerios (“Ministerio de Soberanía Alimentaria”, “Ministerio de Familia y Natalidad”…) – y sobre todo brilló por su timidez de acción y la multiplicación de genuflexiones ante los dictados de Bruselas.",1,news-articles,url,0,"[0.998534083366394, 0.0014659174485132098]"
1.3974218037657354e+18,"Ayer los agentes Brimo mossos recibieron orden política de no actuar contra los cachorros de la CUP. La autoridad se define en dos movimientos: 
🧑🏻‍🎨 Destapar los sprays de pintura.
🥷🏻 Cargar y disolver de inmediato.
Todo mi apoyo a los Dragones. LeyYOrden",1,twitter,twitterId,0,"[0.9982140064239502, 0.0017860705265775323]"
1.4383997005715003e+18,"Sánchez decía haberlo solucionado 🤥

SánchezApagaYvete",1,twitter,twitterId,0,"[0.9984397292137146, 0.0015602323692291975]"
1.4628340474035732e+18,Semana de pleno de presupuestos en el Congreso_Es. Si las cuentas no le gustan a las derechas y ultraderecha es que son buenos para España.,0,twitter,twitterId,1,"[0.21386542916297913, 0.7861346006393433]"
1.450838599511982e+18,1-La luz + cara d la historia 2-La gasolina + cara d la historia 3-Pago x circular x autovías 4-Subida Generalizada d impuestos 5-Nueva subida cuota autónomos 6-La deuda + grande d la historia. 7-Caída d inversión extrajera. gobiernodelaruina socialcomunismooprosperidad,1,twitter,twitterId,0,"[0.9991550445556641, 0.0008450078894384205]"
https://ctxt.es/es/20230301/Politica/42481/Guillem-Martinez-mocion-de-censura-tamames-comunicacion-Sanchez-Diaz.htm,"10- Los artículos semanales de Iván Redondo, quizás una pésima decisión comunicativa de Iván Redondo, explican la política como comunicación.",1,news-articles,url,0,"[0.9989575147628784, 0.0010425086366012692]"
1.4511194036350362e+18,Bildu se niega a condenar a ETA en el Parlamento vasco dos días después de la farsa de Otegi.,1,twitter,twitterId,0,"[0.9885114431381226, 0.011488525196909904]"
1.4628404240585687e+18,"Hoy en Segovia hemos denunciado que mientras la calle se rebela contra Sánchez, el Gobierno mira hacia otro lado. populares se va a volcar en apoyar a colectivos como la Guardia Civil y la Policía Nacional, los transportistas o los agricultores.",0,twitter,twitterId,1,"[0.1837819665670395, 0.8162180185317993]"
1.3692013760609157e+18,"Ábalos y Koldo, los Pajares y Esteso de la política española...

 vía abc_es",1,twitter,twitterId,0,"[0.9983332753181458, 0.0016667171148583293]"
https://maldita.es/feminismo/20230307/laboral-brecha-genero-espana/,"“Si la tasa de actividad de la mujer es inferior a la del hombre y, además, hay una tasa de paro femenino mayor que el masculino, quiere decir que el mercado laboral tiene más querencia por contratar hombres y, por tanto, la mujer está discriminada”, explica Belén Medina, economista y maldita que nos ha prestado sus superpoderes.",0,news-articles,url,1,"[0.07463805377483368, 0.9253619909286499]"
https://okdiario.com/opinion/empresarios-descubren-fin-que-cordero-tenia-colmillos-10576548,"Los empresarios, hasta hace bien poco, tragaron todo lo que se les presentaba y los más halagados podían subir en los aviones de la Fuerza Aérea cada vez que les llamaba Sánchez para que actuaran de comparsas en sus inacabables viajes por el mundo.",0,news-articles,url,1,"[0.15993010997772217, 0.8400698900222778]"
https://ctxt.es/es/20230301/Firmas/42383/Josefina-L-Martinez-revolucion-socialismo-lecturas-8m.htm,Y la audacia de las revolucionarias para organizar a las más oprimidas entre las oprimidas.,0,news-articles,url,1,"[0.08170943707227707, 0.9182905554771423]"
1.35882046500395e+18,"Todos sabemos que si al PSC le dan los votos acordará un nuevo tripartito con nacionalistas.

Con los pactos de los socialistas con Esquerra comenzó la tragedia del 'procés' y ahora planean repetir el bucle. La única forma de evitarlo es votar a CiutadansCs 👇",0,twitter,twitterId,1,"[0.01427575945854187, 0.9857242703437805]"
1.3606228065312686e+18,"La despolitizaciòn y la gesticulación política bien podrían ser las dos caras de lo que plantea aquí .daniInnerarity 

Si nos quedamos sin contenido, sin ideología, sin valentía... sin cultura política no queda más que pura formalidad gesticulante.",0,twitter,twitterId,1,"[0.0021263002417981625, 0.9978736639022827]"
1.395489977644036e+18,"Este Gobierno se empeña en acercar a los asesinos de ETA apelando que tienen que estar cerca de sus familias, pero pretende seguir alejando a los niños de sus padres y familias. 
Contradicciones que deja en evidencia su verdadero interés.",0,twitter,twitterId,1,"[0.006833122111856937, 0.9931668639183044]"
1.3714451307591762e+18,"Si duda, el voto que más nerviosos les pone a Sánchez e Iglesias es el voto a Vox",0,twitter,twitterId,1,"[0.02036263607442379, 0.9796373248100281]"
1.4359314968508088e+18,"Portavoz PSOE Comisión Constitucional: ""La ley de Memoria pretende cerrar definitivamente la rendija por la que asoma un pasado negro"". 

A ver, ¿la memoria consiste en recuperar el pasado o en ""cerrarle rendijas""? 

Lapsus freudiano. Cerrar la rendijas por la que asoma esto:",0,twitter,twitterId,1,"[0.00339342444203794, 0.9966065883636475]"
https://www.huffingtonpost.es/opinion/derecha-censura-si.html,Un año después ha conseguido también ser más radical que su antecesor en su alianza con la ultraderecha.,1,news-articles,url,0,"[0.9994624257087708, 0.0005375601467676461]"
1.4495825226445496e+18,"Un inquilino recibe a tiros a la casera que le reclamaba el impago de varios meses de alquiler.

El propietario desprotegido, el inquiokupa -marroquí y traficante de droga- amparado por los servicios sociales.",1,twitter,twitterId,0,"[0.9990240335464478, 0.0009759629610925913]"
1.458425232105083e+18,"Sánchez exige disciplina de voto para renovar el Constitucional ante el riesgo de rebelión en Unidas Podemos. 

Carros de palomitas para mañana, vamos.",0,twitter,twitterId,1,"[0.010371029376983643, 0.9896289706230164]"
1.386922503470256e+18,"Muchas familias no pueden pagar 170€ de selectividad y “por el momento ninguna institución pública hace nada para impedirlo”. 

Madrid, la desigualdad más alta de España. 26 años de gobiernos del PP. Hay que echarles.",1,twitter,twitterId,0,"[0.9952821135520935, 0.004717840347439051]"
1.4514773223648666e+18,"“Si unas empresas se ponen de acuerdo para subir los precios a los ciudadanos, se denuncia a la CNMC, pero si unas administraciones se ‘cartelizan’ para ‘armoniza/subir’ los impuestos a los ciudadanos ¿a quién se denuncia?”
juanrallo en el acto de elliberal_com",0,twitter,twitterId,1,"[0.004665957763791084, 0.9953340888023376]"
1.3820612126330225e+18,Tránsfugas: ¡Ojo con la gente sin principios! a través de periodicoaragon,1,twitter,twitterId,0,"[0.8991543054580688, 0.10084569454193115]"
1.452276351315157e+18,No hacen falta comentarios …Juzguen ustedes,0,twitter,twitterId,1,"[0.0035541329998522997, 0.9964458346366882]"
1.3636057446339297e+18,"Fuster Fabra, abogado defensor del General Galindo: “... sabían que él me limitaría su defensa, que no diría nada que pudiera perjudicar a la lucha antiterrorista, que asumía la condena como dijo «un destino más de servicio a España»...”. El General.",1,twitter,twitterId,0,"[0.9990406632423401, 0.0009593341965228319]"
https://www.alertadigital.com/2023/03/11/dieciocho-anos-despues-del-11-m-entendemos-mucho-mas-de-atentados-de-falsa-bandera-y-otros-asuntos-de-las-cloacas-las-preguntas-sobre-la-masacre-que-nunca-fueron-respondidas/,"El dosier del caso es vergonzoso de principio a fin y las irregularidades se suceden una tras otra, lo cual hace desconfiar no solo de la política, sino de las instituciones consideradas pilares del Estado.",0,news-articles,url,1,"[0.00972624309360981, 0.9902737736701965]"
1.4050719772247572e+18,"“Con este Gobierno cero referéndums en Cataluña.
Esto es defender España” sanchezcastejon 
LaEspañaQueHacemos",0,twitter,twitterId,1,"[0.09039778262376785, 0.9096022248268127]"
1.4651998824241807e+18,"Tras varios años ausente, hoy me hace mucha ilusión volver a la tribuna de El País, con una inquietud intelectual y política que alguna vez he hecho por aquí:
Son los medios, ¡estúpido!",0,twitter,twitterId,1,"[0.04457269236445427, 0.955427348613739]"
1.373347125153706e+18,"Según la prensa el Sr. Casado líder de 
populares y quien autoriza a IdiazAyuso
 presentarse a las elecciones a la CAM, tiene una visión peculiar de la unificación del centro derecha 
¿Querrá formar gobierno de nuevo con C's? o ¿quizás con el PSOE?",1,twitter,twitterId,0,"[0.9974517226219177, 0.0025482350029051304]"
1.4645535224736154e+18,"Entidades publicas y Fundaciones inútiles se llevan 6.236 millones de euros, ¡lo que tributan 11 millones de españoles por IRPF!. Los que ganan 21.000 € brutos o menos. Lo explicó brillante, FigaredoJoseM. Y al de Podemos, pobre, le silbó el oído zurdo.",0,twitter,twitterId,1,"[0.010198932141065598, 0.9898011088371277]"
1.4522157198868357e+18,"Almeida: ""No se puede permitir que una ministra diga que el Supremo es prevaricador"" es intolerable!!! Sánchez debe cesarla Ya!!!",0,twitter,twitterId,1,"[0.0026477982755750418, 0.9973522424697876]"
1.4562226620159795e+18,"Mientras sanchezcastejon se dejaba la piel en Europa para conseguir un plan de impacto positivo, ¿a qué se dedicaba Casado? 

❌ A poner palos en la rueda. Son el partido que hicieron recortes a las “personas”
🏛️ Hectorgomezh 
Avanzamos_
PGErecuperaciónJusta",0,twitter,twitterId,1,"[0.003924485761672258, 0.996075451374054]"
1.3526575398387302e+18,"La derecha judicial exige intervenir en el ejercicio del poder legislativo y lo hace de manera abrupta e intempestiva, con escritos altisonantes dirigidos al Parlamento (...)

Esto de ⁦SimancasRafael⁩. 👇🏻",0,twitter,twitterId,1,"[0.0048853084444999695, 0.9951146841049194]"
1.4160204203152015e+18,"La disparidad de decisiones entre los TSJ en toda España sólo provoca caos y confusión. Cs advirtió de que endosar las restricciones a 17 tribunales con un decreto-chapuza del Gobierno era un error: hay que unificar criterios mediante la Audiencia Nacional.

Nunca hubo Plan B.",1,twitter,twitterId,0,"[0.9928241968154907, 0.007175757084041834]"
1.4653638157013934e+18,"El enfado de las redes con Ayuso, Almeida y Villacís por no dar el pésame tras la muerte de Almudena Grandes! 😡😡",0,twitter,twitterId,1,"[0.001662722323089838, 0.9983372688293457]"
1.460283939260715e+18,"¿Menos IVA a la luz? 
NO es NO
¿Fondo de ayuda al Turismo?
NO es NO
¿Apoyo a las familias?
NO es NO
¿Suprimir la subida de la cuota de autónomos?
NO es NO

Los VetosDeSánchez niegan el debate de enmiendas liberales buenas para todos los españoles. Es francamente antidemocrático.",0,twitter,twitterId,1,"[0.004456430207937956, 0.9955435395240784]"
https://okdiario.com/opinion/empresarios-descubren-fin-que-cordero-tenia-colmillos-10576548,"En ningún país serio, libre y democrático del mundo -mucho menos en Europa, salvo en Rusia- se hubiera permitido a un sujeto con esa catadura moral conducirse como se conduce.",0,news-articles,url,1,"[0.0028822454623878, 0.9971177577972412]"
1.4585535502215537e+18,"Diputado Baldoví, usted no le llega al señor Santi_ABASCAL y al señor Gil Lázaro, ni política ni humanamente, a la suela de los zapatos.",0,twitter,twitterId,1,"[0.013623950071632862, 0.9863761067390442]"
1.4602203074747187e+18,"Os sigo explicando de que va lo de la “colaboración público-privada” en nuestra Sanidad:

Reducir camas para aumentar cuentas corrientes.",1,twitter,twitterId,0,"[0.9993791580200195, 0.0006207946571521461]"
1.357343902844375e+18,"La LIBERTAD no se llora.
La LIBERTAD no se lamenta.
¡La LIBERTAD se defiende y se conquista!
¡Visca Catalunya! ¡Viva España!
RecuperemosCataluña",1,twitter,twitterId,0,"[0.9949048757553101, 0.0050950925797224045]"
1.3957352497416233e+18,"Hace justo un año pedimos a Sánchez el pasaporte inmunológico que hoy anuncia a bombo y platillo, presumiendo de que lo ha hecho en tiempo récord... de retraso.

A ver si la ley de pandemias está ya para el 2050.",0,twitter,twitterId,1,"[0.02747379243373871, 0.9725261330604553]"
https://www.huffingtonpost.es/opinion/derecha-censura-si.html,"La ultraderecha de VOX ha plasmado un ideario que atenta contra el espíritu de la Constitución Española de 1978, que vulnera los derechos y libertades de los ciudadanos y que tiene como único propósito retroceder en todos los avances y conquistas sociales alcanzadas.",1,news-articles,url,0,"[0.9989271759986877, 0.0010728028137236834]"
1.426230879962243e+18,"Hoy se cumplen 500 años de la conquista de México. 

Acabó el Imperio antropófago azteca y comenzó el Reino de Nueva España, antecesor de los Estados Unidos de México, la mayor nación del orbe de cultura hispana 

Y mirad lo que dice este mamarracho",1,twitter,twitterId,0,"[0.999312162399292, 0.0006878646090626717]"
1.3620596096288932e+18,"Los fondos de recuperación europeos son la oportunidad para hacer las grandes reformas que este país necesita.

Frente al egoísmo del nacionalismo, los constitucionalistas debemos unirnos para garantizar un modelo de financiación justo para toda España.",0,twitter,twitterId,1,"[0.004705403931438923, 0.9952946305274963]"
1.3826940620005745e+18,¿Hay alguna ley que el PP no haya intentado saltarse?,1,twitter,twitterId,0,"[0.9994215965270996, 0.000578469829633832]"
1.4580193668769464e+18,Argelia Eso lo sabía hasta mi gato. El único que no quería entenderlo era el gobierno y como les toquemos las narices nos reducirán el suministro.,0,twitter,twitterId,1,"[0.0022196073550730944, 0.9977803826332092]"
1.461369603435774e+18,".elentirvigo : ""Los crímenes reciben amplia reprobación de políticos y medios sólo si se cumplen dos requisitos:

1) Que el perpetrador sea hombre.

2) Que sea español"".",1,twitter,twitterId,0,"[0.9974989295005798, 0.0025010209064930677]"
1.4492821967292088e+18,"Vamos cada día recuperando la normalidad.
🔴Preocupación por los 346 sanitarios contagiados esta semana y ya suman 149.048.
🔴El Gobierno de Sánchez sin tenerles en cuenta. 
En los PGE2022 abandono total 😡",0,twitter,twitterId,1,"[0.0408945307135582, 0.9591054916381836]"
1.3932092673611407e+18,"Los ayuntamientos han recibido 0 euros del Gobierno para ayudar a las familias en pandemia, como represalia al rechazo de los alcaldes de que se quedase con sus ahorros para tapar su mala gestión.
 
Exigimos un fondo Covid y fondos UE, como Italia que les ha cedido el 38%",1,twitter,twitterId,0,"[0.9978343844413757, 0.0021656218450516462]"
1.3552325854090568e+18,"Ladrillos sin escrúpulos: Una mole de cemento para 1.300 viviendas amenaza el paisaje que inspiró a Machado y Becquer
 -",1,twitter,twitterId,0,"[0.9440462589263916, 0.0559537336230278]"
1.3554619002728858e+18,"“LA DERECHA CONTRA ESPAÑA”

PP y Cs coinciden con el independentismo catalán contra la llegada de los fondos europeos, en la suspensión de las elecciones y en el desprestigio ante Europa de nuestra democracia

Después culparán a Tezanos por las encuestas",0,twitter,twitterId,1,"[0.003720658365637064, 0.9962792992591858]"
9.343589818537944e+17,"Retweeted El País Opinión (elpais_opinion):

'El chapapote nacionalista es complicado de eliminar'
ElRoto...",0,twitter,twitterId,1,"[0.0020161333959549665, 0.9979838132858276]"
